,_id,url,entity,label
0,5e43022b93698d38b77aafdd,https://www.wsj.com/articles/russia-and-poland-feud-over-putin-remarks-on-world-war-ii-11578756818?mod=searchresults&page=2&pos=10,Putin,neg
1,5e4302a293698d38b77ab05f,https://www.wsj.com/articles/trump-moves-to-lift-visa-restrictions-on-polish-citizens-who-visit-u-s-11570208514?mod=searchresults&page=8&pos=20,Trump,neutr
2,5e4302d393698d38b77ab090,https://www.wsj.com/articles/trump-backed-u-s-british-free-trade-deal-faces-hurdles-11566901800?mod=searchresults&page=11&pos=9,Trump,neutr
3,5e43031793698d38b77ab0da,https://www.wsj.com/articles/trump-praises-lame-duck-u-k-leader-theresa-may-11559674345?mod=searchresults&page=15&pos=3,Trump,neutr
4,5e43031993698d38b77ab0dd,https://www.wsj.com/articles/trump-criticizes-londons-mayor-as-he-arrives-in-u-k-for-visit-11559557926?mod=searchresults&page=15&pos=6,Trump,neg
5,5e43033493698d38b77ab0fb,https://www.wsj.com/articles/u-s-keeps-sanctions-at-the-ready-even-as-trump-courts-hungarian-leader-11557867566?mod=searchresults&page=16&pos=16,Trump,neutr
6,5e43052293698d3ab60831bc,https://www.wsj.com/articles/new-rule-lets-u-s-companies-fight-currency-manipulation-11580831245?mod=searchresults&page=1&pos=12,Trump,neutr
7,5e4306a193698d3ab6083301,https://www.wsj.com/articles/trump-steers-clear-of-war-footing-toward-iran-11568844304?mod=searchresults&page=17&pos=17,Trump,neutr
8,5e4306ac93698d3ab6083309,https://www.wsj.com/articles/trump-says-son-of-osama-bin-laden-killed-in-u-s-operation-11568470252?mod=searchresults&page=18&pos=5,Trump,neutr
9,5e4306af93698d3ab608330b,https://www.wsj.com/articles/trump-awaiting-egyptian-counterpart-at-summit-called-out-for-my-favorite-dictator-11568403645?mod=searchresults&page=18&pos=7,Trump,neg
10,5e4307f393698d3cf6dc89da,https://www.wsj.com/articles/border-patrol-gets-new-leader-its-fourth-under-trump-11579899394?mod=searchresults&page=5&pos=2,Trump,neg
11,5e4307fe93698d3cf6dc89e6,https://www.wsj.com/articles/veterans-differ-with-trump-over-injuries-from-iran-missile-attack-11579733650?mod=searchresults&page=5&pos=14,Trump,neutr
12,5e43084f93698d3cf6dc8a1e,https://www.wsj.com/articles/how-sanders-stumbled-then-steadied-his-presidential-campaign-11578676518?mod=searchresults&page=8&pos=10,Sanders,pos
